iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,discriminator_loss,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
43,19.049498796463013,85.16801639070498,198.619264293257,1696.6507025294065,-12.754562332573963,5.5,0.6845732,1.4748700436345705,0.05,0.021334409713745117,0.6784882545471191,0.0252674,0.035367243,55.54949332757831,5.5,40000,4.489098072052002,0.6188387975005087,0.5035138315716381,249.13288987164356,16.0
44,19.363747596740723,114.8433585726461,241.46119400584408,1828.7642930153875,-7.568611411141163,11.0,0.68471634,1.57427002331194,0.05,0.04201102256774902,0.8050165176391602,0.025313187,0.032811515,61.47887985208509,11.0,40000,7.004486322402954,0.6040918771795657,0.4872380958089266,303.4018352907948,20.0
45,20.327754497528076,77.86469268224474,173.6097703431773,1435.5411238586425,-8.802437354799586,5.5,0.6845386,1.4531549346569586,0.05,1.4676063060760498,27.04201340675354,0.025522558,0.034573916,63.11746113510106,5.5,40000,53.41915726661682,0.6525018869972916,0.5288851938353688,367.1783793558941,24.0
46,20.597272396087646,114.31392636612699,238.39393726159076,1545.3155525247976,-7.98730335735018,10.0,0.68325365,1.5778320364705467,0.05,1.4198517799377441,30.015071153640747,0.025168134,0.033614878,68.23710765820366,10.0,40000,39.94628715515137,0.6271059115854707,0.5079559399473547,294.41061500017736,24.0
47,19.139994859695435,136.3699822774023,293.82758217024605,1843.688106879714,-7.1186574613887545,11.5,0.6842003,1.5105526259674216,0.05,0.02196979522705078,0.6313877105712891,0.025143307,0.034640558,75.05039512012353,11.5,40000,4.57070255279541,0.5800987019524648,0.45569835976172496,282.2000588252416,24.0
48,20.519507884979248,124.35716833744216,253.68709406403102,1373.4277715571386,-12.224067192806546,9.5,0.6829222,1.4443218268449645,0.05,0.031575679779052734,0.7064921855926514,0.024992513,0.03480914,79.98107244185539,9.5,40000,4.738909482955933,0.5877491070981955,0.44289690678034965,320.0816505937305,28.0
49,18.276854038238525,104.65208533072877,197.3032039925594,1124.9815671017132,-7.2931189792531645,8.0,0.6839157,1.475772071197007,0.05,0.022505521774291992,0.7203834056854248,0.024912616,0.03455953,82.44817373074274,8.0,40000,4.551158428192139,0.5780546453536617,0.42414579580299916,347.3066185637326,28.0
50,20.4622962474823,139.19867748096704,260.35892765875076,1493.3100772354908,-15.40013004790429,12.0,0.68238753,1.5797096897278402,0.05,0.02233409881591797,0.7691304683685303,0.025178311,0.03172263,88.12322410576517,12.0,40000,5.897244691848755,0.585872951702811,0.4372795818156386,303.0921956827975,24.0
51,19.5213623046875,193.56784550195934,360.7054737704801,2656.4363540010577,-11.682880490723397,15.0,0.68137765,1.496774102495563,0.05,0.02191615104675293,0.8387606143951416,0.02488109,0.034715835,98.6676862453846,15.0,40000,4.486132621765137,0.5145808813871876,0.44120895700364626,239.59750045466197,28.0
52,21.934832096099854,140.8378716561112,222.4379066367214,1202.6290933184835,-11.747275362236653,13.0,0.6824281,1.4321217637808303,0.05,0.01945328712463379,0.6098418235778809,0.025294637,0.033389546,102.88470478645726,13.0,40000,4.09670615196228,0.628270570267193,0.4274174154903366,283.56066044247143,24.0
53,22.225868463516235,143.44323899829112,280.43420291652876,1954.5280153302958,-11.893039961431668,11.0,0.6820569,1.5608856849640969,0.05,0.1460878849029541,6.182231187820435,0.025138922,0.033532098,106.94055820764066,11.0,40000,14.984607219696045,0.5752260725119241,0.4320921990348172,341.3517577330091,32.0
54,17.77964448928833,235.18721869549591,380.0700110026563,2028.0029133943299,-13.47349363575608,22.5,0.6809335,1.469557711386098,0.05,0.02050924301147461,0.6376175880432129,0.025150793,0.03520636,119.7652242564262,22.5,40000,5.009435415267944,0.5235837818609606,0.4506144696476703,342.10400065915945,32.0
55,18.76096200942993,201.4176188750581,369.51298019252164,1869.6570403089172,-11.304971254613188,15.5,0.6819978,1.4508584676500178,0.05,0.024264812469482422,0.6831583976745605,0.024826486,0.034377,127.93046371828939,15.5,40000,5.567402601242065,0.5460268039300735,0.45693858691771105,314.36396001109955,24.0
56,19.42831540107727,218.62692229006615,334.3726231697691,1697.3254635027315,-9.020328361356414,18.5,0.68144345,1.5099850293407377,0.05,0.0218048095703125,0.6581366062164307,0.025280703,0.033008862,137.00010957546706,18.5,40000,4.723818778991699,0.5076210513981223,0.40947458667586095,357.67698336250197,28.0
57,20.588826179504395,241.99894697352903,382.54854814249063,2387.472883704792,-11.460516733948007,24.0,0.68128175,1.4910313130112616,0.05,1.2160072326660156,24.765594959259033,0.025241401,0.03467902,147.49999331527326,24.0,40000,58.905097007751465,0.5204451629218102,0.4277535153763292,343.9368472599963,24.0
58,19.741958141326904,274.5308867204075,391.2580342850828,1711.4569441123622,-13.572926498639529,24.5,0.67932105,1.4526000340836338,0.05,0.0524592399597168,0.9565443992614746,0.025037365,0.03501097,160.2030826557867,24.5,40000,6.734373569488525,0.4467952618597467,0.3481109944769123,404.34605368455783,40.0
59,21.362794160842896,336.5402559410548,479.8842755776119,3086.184349460224,-8.271239408409093,30.5,0.67975116,1.5356904560968563,0.05,0.020838022232055664,0.6691453456878662,0.025076048,0.033656005,177.8367999843135,30.5,40000,4.633523225784302,0.44354915499501735,0.3662492873356164,474.97785648185214,32.0
60,19.218666315078735,363.3054568394387,525.8914280627821,2369.161634083132,-8.009998039196013,30.0,0.6800171,1.5050604002026868,0.05,1.0691413879394531,24.214407682418823,0.024963843,0.032925084,196.38366566982603,30.0,40000,57.18273425102234,0.4426161391030403,0.33463549595852565,636.4668289824909,40.0
61,17.657026529312134,408.1724623477972,523.5662976518374,2834.203063781157,-12.92520331874619,37.0,0.6788273,1.4919769473505424,0.05,1.1664505004882812,24.620954990386963,0.024924308,0.033412706,217.56254533762316,37.0,40000,95.45289373397827,0.46821201188175826,0.3749064807676912,740.3178895123935,52.0
62,18.991502285003662,393.64656612998544,529.0801104076518,2574.424147345809,-14.201015060362312,33.0,0.6797692,1.515506841005948,0.05,0.020648956298828125,0.6919651031494141,0.025094938,0.033035785,235.1709474168594,33.0,40000,4.535795211791992,0.37487739427351735,0.3167387704251598,756.5814223397622,48.0
63,20.01744270324707,458.6338967614714,526.2961700234226,2338.189275981492,-9.766712962409255,42.0,0.67770725,1.5732804362417014,0.05,0.020134925842285156,0.5990941524505615,0.024881966,0.032252084,257.51724235132065,42.0,40000,4.256112813949585,0.3882865372819901,0.3172164739009247,864.5701439321958,52.0
64,21.139545917510986,505.87837377166665,602.5769454178298,2466.249598032524,-12.439742740479113,41.0,0.6772592,1.505133306552773,0.05,0.020094871520996094,0.6731827259063721,0.025097968,0.03310733,282.35335549335525,41.0,40000,4.304210662841797,0.3506705104415995,0.30107157463932016,786.4065483292425,56.0
65,19.51654052734375,453.2297011409397,537.1645849665236,2169.289568368322,-5.67517183391374,39.0,0.6787261,1.5115584300474776,0.05,0.174544095993042,13.328554391860962,0.025791943,0.033455275,299.4409900581137,39.0,40000,52.28921413421631,0.38638278111830976,0.3108589338460878,856.9668031735308,60.0
66,20.34254479408264,505.62687204138956,543.1935416873052,2361.574770705274,-12.981602871892699,47.0,0.6781291,1.5104513921206577,0.05,0.019974946975708008,0.6352837085723877,0.025134807,0.03284259,320.0595782564413,47.0,40000,5.0253660678863525,0.3755241415631975,0.31617975532580456,986.891187892201,72.0
67,22.93265962600708,715.0373699829754,622.8525112107573,2453.9467948166302,-11.688845889236823,60.5,0.67562544,1.473485147925342,0.05,0.2505500316619873,5.2518041133880615,0.025077404,0.033557434,359.5573574290947,60.5,40000,69.74851512908936,0.3223534353924915,0.2404889136118626,982.655465063431,64.0
